Name,RA(J2000),Decl(J2000),Morphology,T-type,BPT,E(B-V),g(total),u-g,M_g,cz,D_L
 NGC 4254        ,   184.70661,   14.41658,     SAc          ,   5.0 ,  SF     ,   0.04 ,  10.49  ,   1.07 ,  -20.58 ,   2398 ,   16.5 
 NGC 4321        ,   185.72846,   15.82182,     SABbc        ,   4.0 ,  SF     ,   0.03 ,  10.32  ,   1.15 ,  -20.45 ,   1558 ,   14.3 
        NGC 4365 ,   186.11775,    7.31767,                E ,  -5.0 ,  -      ,   0.03 ,  10.40  ,   1.75 ,  -21.41 ,   1243 ,   23.1 
        NGC 4387 ,   186.42373,   12.81057,                E ,  -5.0 ,  -      ,   0.02 ,  12.62  ,   1.65 ,  -18.65 ,    472 ,   18.0 
 NGC 4385        ,   186.42838,    0.57270,     SB(rs)0      ,  -1.0 ,  SF/AGN ,   0.03 ,  11.94  ,   1.04 ,  -20.74 ,   2128 ,   34.7 
      NGC 4450   ,   187.12334,   17.08494,       SAab       ,   2.0 ,  AGN    ,   0.05 ,  10.39  ,   1.61 ,  -20.68 ,   1954 ,   16.5 
        NGC 4458 ,   187.23987,   13.24189,                E ,  -5.0 ,  -      ,   0.02 ,  12.59  ,   1.56 ,  -18.46 ,   1307 ,   16.3 
        NGC 4473 ,   187.45358,   13.42938,                E ,  -5.0 ,  -      ,   0.03 ,  10.69  ,   1.68 ,  -20.22 ,   2244 ,   15.3 
        NGC 4486 ,   187.70578,   12.39117,                E ,  -4.0 ,  -      ,   0.02 ,   9.44  ,   1.75 ,  -21.67 ,    635 ,   16.7 
      NGC 4536   ,   188.61271,    2.18814,       SABbc      ,   4.0 ,  SF     ,   0.02 ,  11.17  ,   1.22 ,  -19.62 ,   1808 ,   14.4 
        NGC 4550 ,   188.87739,   12.22082,                E ,  -1.5 ,  -      ,   0.03 ,  12.01  ,   1.54 ,  -19.01 ,    381 ,   16.0 
        NGC 4551 ,   188.90815,   12.26390,                E ,  -5.0 ,  -      ,   0.03 ,  12.34  ,   1.70 ,  -18.70 ,   1172 ,   16.2 
      NGC 4552   ,   188.91587,   12.55630,       E          ,  -5.0 ,  -      ,   0.04 ,  10.81  ,   1.81 ,  -20.20 ,    340 ,   15.9 
      NGC 4559   ,   188.99015,   27.96010,       SABcd      ,   6.0 ,  SF     ,   0.02 ,  10.92  ,   0.97 ,  -19.14 ,    807 ,   10.3 
 NGC 4569        ,   189.20750,   13.16304,     SABab        ,   2.0 ,  AGN    ,   0.04 ,   9.72  ,   1.43 ,  -21.37 ,   -235 ,   16.5 
      NGC 4579   ,   189.43134,   11.81808,       SABb       ,   3.0 ,  AGN    ,   0.03 ,  10.46  ,   1.60 ,  -20.62 ,   1517 ,   16.5 
      NGC 4594   ,   189.99762,  -11.62305,       SAa        ,   1.0 ,  -      ,   0.06 ,   9.38  ,   1.80 ,  -20.46 ,   1024 ,    9.3 
 NGC 4625        ,   190.46972,   41.27383,     SABm pec     ,   9.0 ,  SF     ,   0.01 ,  12.52  ,   1.03 ,  -17.29 ,    599 ,    9.2 
        NGC 4621 ,   190.50934,   11.64694,                E ,  -5.0 ,  -      ,   0.04 ,  10.09  ,   1.61 ,  -20.77 ,    410 ,   14.9 
      NGC 4631   ,   190.53248,   32.54288,       SBd        ,   7.0 ,  AGN    ,   0.03 ,   9.99  ,   0.91 ,  -19.41 ,    606 ,    7.6 
        NGC 4660 ,   191.13328,   11.19050,                E ,  -5.0 ,  -      ,   0.03 ,  11.59  ,   1.61 ,  -19.29 ,   1083 ,   15.0 
 NGC 4670        ,   191.32109,   27.12533,     SB(s)0/a     ,   -   ,  SF     ,   0.01 ,  12.45  ,   0.53 ,  -19.37 ,   1079 ,   23.2 
 NGC 4676 A      ,   191.53844,   30.73206,     Pec          ,  -2.0 ,  AGN    ,   0.01 ,  13.96  ,   1.34 ,  -21.08 ,   6625 ,  101.9 
      NGC 4725   ,   192.61064,   25.50075,       SABab pec  ,   2.0 ,  -      ,   0.02 ,  10.80  ,   1.65 ,  -19.58 ,   1206 ,   11.9 
      NGC 4826   ,   194.18187,   21.68307,       SAab       ,   2.0 ,  SF/AGN ,   0.05 ,   8.93  ,   1.47 ,  -20.44 ,    408 ,    7.5 
        NGC 4860 ,   194.76628,   28.12370,                E ,  -5.0 ,  -      ,   0.02 ,  13.88  ,   1.84 ,  -21.03 ,   7980 ,   95.1 
        NGC 4889 ,   195.03382,   27.97689,               E4 ,  -4.0 ,  -      ,   0.01 ,  12.12  ,   1.77 ,  -22.75 ,   6495 ,   93.8 
         IC 4051 ,   195.21479,   28.04283,                E ,  -5.0 ,  -      ,   0.01 ,  14.03  ,   1.84 ,  -21.43 ,   8793 ,  122.0 
        NGC 4926 ,   195.47394,   27.62439,                E ,  -3.0 ,  -      ,   0.01 ,  13.08  ,   1.79 ,  -22.18 ,   7887 ,  111.2 
      NGC 5033   ,   198.36458,   36.59387,       SAc        ,   5.0 ,  SF/AGN ,   0.02 ,  11.15  ,   1.40 ,  -19.70 ,    875 ,   14.8 
 IC 0860         ,   198.76464,   24.61879,     Sa           ,   -   ,  AGN    ,   0.01 ,  14.00  ,   1.57 ,  -19.71 ,   3357 ,   55.6 
 UGC 08335 NW    ,   198.87776,   62.12913,     Pec          ,   -   ,  SF/AGN ,   0.02 ,  14.82  ,   1.15 ,  -20.84 ,   9233 ,  136.1 
 UGC 08335 SE    ,   198.89612,   62.12462,     Pec          ,   -   ,  SF/AGN ,   0.02 ,  14.95  ,   1.02 ,  -20.73 ,   9323 ,  137.3 
      NGC 5055   ,   198.95528,   42.02945,       SAbc       ,   4.0 ,  -      ,   0.03 ,   9.71  ,   1.31 ,  -19.75 ,    484 ,    7.8 
 IC 0883         ,   200.14715,   34.13943,     Pec          ,  10.0 ,  SF/AGN ,   0.01 ,  14.34  ,   1.26 ,  -20.79 ,   6985 ,  106.9 
 NGC 5104        ,   200.34662,    0.34248,     Sa           ,   1.0 ,  SF/AGN ,   0.03 ,  13.81  ,   1.49 ,  -20.92 ,   5576 ,   88.3 
 NGC 5194        ,   202.46973,   47.19525,     SABbc pec    ,   4.0 ,  SF/AGN ,   0.05 ,   9.88  ,   1.13 ,  -19.53 ,    449 ,    7.6 
      NGC 5195   ,   202.49818,   47.26605,       SB0 pec    ,  90.0 ,  SF/AGN ,   0.05 ,  10.74  ,   1.53 ,  -18.67 ,    465 ,    7.6 
 NGC 5256        ,   204.57260,   48.27710,     Pec          ,  99.0 ,  AGN    ,   0.02 ,  13.48  ,   1.20 ,  -22.01 ,   8364 ,  125.2 
 NGC 5257        ,   204.97051,    0.84006,     SAB(s)b      ,   3.0 ,  SF     ,   0.03 ,  13.11  ,   0.88 ,  -22.00 ,   6805 ,  105.8 
 NGC 5258        ,   204.99057,    0.83083,     SA(s)b       ,   3.0 ,  SF     ,   0.03 ,  13.09  ,   1.18 ,  -22.01 ,   6745 ,  104.9 
 UGC 08696       ,   206.17545,   55.88689,     Pec          ,  99.0 ,  AGN    ,   0.01 ,  14.67  ,   1.16 ,  -21.44 ,  11332 ,  165.9 
 Mrk 1490        ,   214.93034,   49.23663,     Sa           ,   -   ,  SF/AGN ,   0.02 ,  14.99  ,   1.50 ,  -20.34 ,   7674 ,  115.5 
 NGC 5653        ,   217.54331,   31.21543,     (R')SA(rs)b  ,   3.0 ,  SF     ,   0.02 ,  12.52  ,   1.09 ,  -21.30 ,   3567 ,   58.7 
 Mrk 0475        ,   219.77282,   36.80591,     Irr          ,   -   ,  SF     ,   0.01 ,  15.49  ,   0.79 ,  -14.75 ,    569 ,   11.2 
      NGC 5713   ,   220.04762,   -0.28901,       SABbc pec  ,   4.0 ,  SF     ,   0.04 ,  11.30  ,   1.06 ,  -21.03 ,   1899 ,   29.4 
 UGC 09618 S     ,   224.25134,   24.60663,     Sc           ,   -   ,  SF/AGN ,   0.05 ,  14.49  ,   1.12 ,  -21.38 ,  10043 ,  150.2 
 UGC 09618       ,   224.25134,   24.61300,     Pec          ,   -   ,  SF/AGN ,   0.05 ,  13.85  ,   1.24 ,  -22.06 ,  10103 ,  151.0 
 UGC 09618 N     ,   224.25302,   24.61748,     Sb           ,   -   ,  SF     ,   0.05 ,  14.68  ,   1.48 ,  -21.25 ,  10103 ,  151.0 
      NGC 5866   ,   226.62279,   55.76288,       S0         ,  -1.0 ,  -      ,   0.02 ,  10.64  ,   1.63 ,  -20.29 ,    672 ,   15.4 
 CGCG 049-057    ,   228.30466,    7.22548,     Irr          ,   -   ,  SF/AGN ,   0.04 ,  15.02  ,   1.65 ,  -18.98 ,   3897 ,   63.3 
 NGC 5953        ,   233.63490,   15.19375,     Sa           ,   1.0 ,  SF/AGN ,   0.04 ,  12.49  ,   1.25 ,  -20.19 ,   1978 ,   34.6 
 IC 4553         ,   233.73850,   23.50317,     Pec          ,   -   ,  AGN    ,   0.05 ,  13.59  ,   1.58 ,  -21.05 ,   5426 ,   85.2 
 UGCA 410        ,   234.26750,   55.26340,     Irr          ,   -   ,  SF     ,   0.02 ,  14.95  ,   0.67 ,  -15.99 ,    659 ,   15.4 
 NGC 5992        ,   236.08962,   41.08640,     SBb          ,   -   ,  SF     ,   0.02 ,  13.84  ,   0.98 ,  -21.88 ,   9503 ,  141.3 
 NGC 6052        ,   241.30351,   20.54230,     Pec          ,   5.0 ,  SF     ,   0.08 ,  12.96  ,   0.64 ,  -21.38 ,   4706 ,   74.8 
 NGC 6090        ,   242.92024,   52.45737,     Pec          ,   -   ,  SF     ,   0.02 ,  13.89  ,   0.74 ,  -21.67 ,   8783 ,  130.2 
 NGC 6240        ,   253.24540,    2.40130,     Pec          ,  90.0 ,  AGN    ,   0.10 ,  13.07  ,   1.39 ,  -22.19 ,   7344 ,  111.9 
 IRAS 17208-0014 ,   260.84174,   -0.28368,     Pec          ,   -   ,  SF     ,   0.37 ,  15.16  ,   1.49 ,  -21.23 ,  12831 ,  187.9 
 II Zw 096       ,   314.35047,   17.12938,     Pec          ,   -   ,  SF     ,   0.10 ,  13.49  ,   0.63 ,  -22.42 ,  10822 ,  154.5 
      NGC 7331   ,   339.26681,   34.41585,       SAb        ,   3.0 ,  SF/AGN ,   0.11 ,   9.58  ,   1.60 ,  -21.23 ,    816 ,   14.5 
 UGC 12150       ,   340.30102,   34.24908,     SB0/a        ,   -   ,  SF/AGN ,   0.08 ,  14.15  ,   1.60 ,  -20.66 ,   6415 ,   91.3 
 CGCG 453-062    ,   346.23574,   19.55223,     Sab          ,   -   ,  SF     ,   0.10 ,  14.02  ,   1.51 ,  -21.12 ,   7524 ,  106.0 
 IC 5298         ,   349.00283,   25.55658,     Pec          ,   -   ,  AGN    ,   0.09 ,  14.11  ,   1.39 ,  -21.21 ,   8184 ,  115.1 
 NGC 7585        ,   349.50540,   -4.65055,     (R)SA(s)0    ,  -1.0 ,  -      ,   0.08 ,  11.39  ,   1.65 ,  -22.09 ,   3507 ,   50.1 
 NGC 7591        ,   349.56787,    6.58579,     SBbc         ,   4.0 ,  SF     ,   0.12 ,  13.26  ,   1.22 ,  -20.96 ,   4946 ,   69.9 
 NGC 7592        ,   349.59224,   -4.41617,     Pec          ,  -0.7 ,  SF/AGN ,   0.05 ,  13.55  ,   0.83 ,  -21.50 ,   7314 ,  102.9 
 NGC 7673        ,   351.92173,   23.58904,     (R')SAc      ,   5.0 ,  SF     ,   0.05 ,  12.89  ,   0.63 ,  -20.53 ,   3417 ,   48.9 
 NGC 7674        ,   351.98621,    8.77894,     SA(r)bc      ,   4.0 ,  -      ,   0.07 ,  12.96  ,   1.08 ,  -22.45 ,   8664 ,  121.4 
 NGC 7679        ,   352.19437,    3.51141,     SB0          ,  -2.0 ,  SF/AGN ,   0.08 ,  12.53  ,   0.91 ,  -21.74 ,   5126 ,   72.3 
 Mrk 0930        ,   352.99405,   28.94718,     Pec          ,   -   ,  SF     ,   0.15 ,  14.57  ,   0.46 ,  -19.82 ,   5486 ,   77.5 
 NGC 7714        ,   354.05885,    2.15494,     SB(s)b       ,   3.0 ,  SF/AGN ,   0.08 ,  12.44  ,   0.64 ,  -20.54 ,   2788 ,   39.9 
 NGC 7771        ,   357.85345,   20.11176,     SB(s)a       ,   1.0 ,  SF     ,   0.09 ,  12.25  ,   1.39 ,  -21.65 ,   4287 ,   60.5 
 Mrk 0331        ,   357.86134,   20.58617,     Sa           ,   -   ,  SF/AGN ,   0.09 ,  13.70  ,   1.37 ,  -20.76 ,   5546 ,   77.9 
